,time_in_cycles,LPCompOT,HPCompOT,LPTurbineOT,HPCompOP,PhyFanSpeed,PhyCoreSpeed,CoreSpeedDifference,HPCOStaticPre,RFuelFlow,BypassRatio,BleedEnthalpy,HPTurbineCoolAirFlow,LPTurbineAirFlow,RUL
0,1,641.82,1589.7,1400.6,554.36,2388.06,9046.19,-907.5700000000006,47.47,521.66,8.4195,392,39.06,23.419,191
1,2,642.15,1591.82,1403.14,553.75,2388.04,9044.07,-912.5799999999999,47.49,522.28,8.4318,392,39.0,23.4236,190
2,3,642.35,1587.99,1404.2,554.26,2388.08,9052.94,-919.710000000001,47.27,522.42,8.4178,390,38.95,23.3442,189
3,4,642.35,1582.79,1401.87,554.45,2388.11,9049.48,-915.6499999999996,47.13,522.86,8.3682,392,38.88,23.3739,188
4,5,642.37,1582.85,1406.22,554.0,2388.06,9055.15,-921.3499999999995,47.28,522.19,8.4294,393,38.9,23.4044,187
5,6,642.1,1584.47,1398.37,554.67,2388.02,9049.68,-916.8299999999999,47.16,521.68,8.4108,391,38.98,23.3669,186
6,7,642.48,1592.32,1397.77,554.34,2388.02,9059.13,-926.8099999999995,47.36,522.32,8.3974,392,39.1,23.3774,185
7,8,642.56,1582.96,1400.97,553.85,2388.0,9040.8,-909.7299999999996,47.24,522.47,8.4076,391,38.97,23.3106,184
8,9,642.12,1590.98,1394.8,553.69,2388.05,9046.46,-920.7699999999995,47.29,521.79,8.3728,392,39.05,23.4066,183
9,10,641.71,1591.24,1400.46,553.59,2388.05,9051.7,-922.3200000000006,47.03,521.79,8.4286,393,38.95,23.4694,182
10,11,642.28,1581.75,1400.64,554.54,2388.05,9049.61,-909.0300000000007,47.15,521.4,8.434,392,38.94,23.4787,181
11,12,642.06,1583.41,1400.15,554.52,2388.09,9049.37,-915.1200000000008,47.18,521.8,8.3938,391,39.06,23.366,180
12,13,643.07,1582.19,1400.83,553.44,2388.12,9046.82,-918.7199999999993,47.38,521.85,8.4152,393,38.93,23.2757,179
13,14,642.35,1592.95,1399.16,554.48,2388.09,9047.37,-912.9400000000005,47.44,521.67,8.3964,393,39.18,23.3826,178
14,15,642.43,1583.82,1402.13,553.64,2388.11,9052.22,-924.659999999999,47.3,522.5,8.4199,391,38.99,23.35,177
15,16,642.13,1587.98,1404.5,553.94,2388.05,9049.34,-913.2300000000005,47.24,521.49,8.3936,392,38.97,23.455,176
16,17,642.58,1584.96,1399.95,553.8,2388.06,9054.92,-917.6499999999996,47.12,521.89,8.4542,392,38.81,23.3319,175
17,18,642.62,1591.04,1396.12,554.2,2388.05,9049.55,-916.8199999999997,47.21,521.76,8.4028,392,38.89,23.3987,174
